Email No.,the,to,ect,and,for,of,a,you,hou,in,on,is,this
Email 93,22,15,2,13,3,13,172,17,1,24,34,17,5
Email 94,19,23,4,20,12,11,190,12,0,28,28,14,0
Email 95,6,10,17,2,4,1,68,2,8,17,21,6,1
Email 96,17,15,29,5,8,2,128,3,14,25,35,18,5
Email 97,8,6,8,0,2,0,48,1,2,6,7,3,2
Email 98,3,1,1,0,2,0,11,0,0,1,3,1,0
Email 99,2,1,1,0,1,2,20,0,0,6,3,1,1
Email 100,3,3,1,1,0,3,35,2,0,4,6,4,0
Email 101,3,2,1,2,2,1,24,0,1,4,1,3,2
Email 102,2,2,2,0,2,0,19,1,0,3,4,3,0
Email 103,1,3,1,2,2,0,24,2,0,3,4,0,0
Email 104,0,0,1,0,0,0,4,0,0,0,1,1,0
Email 105,0,1,2,1,2,2,25,1,1,3,3,4,0
Email 106,1,0,1,1,3,1,23,0,0,4,3,3,1
Email 107,7,12,1,2,5,8,55,7,0,19,12,4,2
Email 108,35,32,9,23,15,33,314,0,2,97,78,33,5
Email 109,5,5,16,2,5,1,51,0,8,5,4,5,2
Email 110,1,5,3,0,0,0,43,0,0,5,8,3,0
Email 111,1,1,1,0,0,0,9,1,0,1,2,1,0
Email 112,31,26,4,21,16,13,189,3,3,31,48,40,16
Email 113,5,2,2,1,0,1,18,2,0,1,0,0,0
Email 114,24,11,23,2,11,2,110,6,9,39,27,13,0
Email 115,1,2,1,2,2,0,14,1,0,1,2,1,0
Email 116,33,16,8,7,16,21,387,11,0,45,88,40,7
Email 117,2,0,1,0,1,1,15,1,0,1,1,0,0
Email 118,1,3,7,2,1,1,20,0,4,3,5,3,1
Email 119,14,12,12,6,8,3,98,3,5,17,24,14,4
Email 120,9,7,1,4,4,3,35,1,0,15,7,3,2
Email 121,6,7,11,5,2,1,62,4,3,12,15,8,1
Email 122,0,2,1,1,0,1,55,0,0,4,6,2,0
Email 123,0,2,1,1,3,1,14,0,1,1,3,4,3
Email 124,2,2,1,1,1,0,22,3,0,0,2,3,2
Email 125,0,0,1,0,1,0,7,0,0,0,3,0,0
Email 126,1,1,1,0,1,0,6,0,0,0,1,1,0
Email 127,1,3,2,1,1,0,11,1,0,0,7,0,0
Email 128,11,12,3,3,3,2,52,1,2,7,6,7,5
Email 129,0,1,1,0,0,0,18,1,1,0,0,6,3
Email 130,0,0,1,0,0,0,0,0,0,1,0,0,0
Email 131,1,0,1,1,1,0,16,1,0,3,5,2,0
Email 132,5,16,2,1,0,0,42,0,0,6,13,3,0
Email 133,2,2,3,2,0,1,10,1,0,4,1,1,0
Email 134,3,3,2,1,0,3,27,2,0,3,7,3,0
Email 135,3,2,2,3,0,1,30,2,1,3,5,2,1
Email 136,0,1,1,2,0,0,18,1,2,2,1,1,0
Email 137,8,1,1,3,4,1,33,2,0,8,0,3,1
Email 138,0,1,2,0,1,0,13,0,0,0,7,3,0
Email 139,0,1,2,0,1,0,11,0,0,0,5,0,0
Email 140,2,4,1,2,1,0,41,0,0,11,8,3,0
Email 141,31,36,62,9,25,14,275,13,26,38,60,37,5
Email 142,15,22,47,5,6,6,121,0,21,26,21,20,1
Email 143,3,5,10,0,5,0,32,5,3,3,9,2,1
Email 144,14,12,7,6,4,2,122,5,3,13,19,15,5
Email 145,1,0,1,0,0,0,3,0,0,0,0,0,0
Email 146,0,0,1,0,0,0,11,2,0,0,0,2,1
Email 147,4,12,4,9,7,1,214,2,0,24,35,24,0
Email 148,1,2,1,3,1,0,28,3,0,1,7,2,1
Email 149,0,3,4,1,0,1,40,0,0,5,8,1,0
Email 150,5,11,1,2,2,5,49,11,2,12,3,5,3
Email 151,0,1,2,0,3,0,15,0,0,0,5,0,0
Email 152,0,5,1,3,1,0,31,0,0,7,1,2,1
Email 153,0,1,1,0,1,0,4,0,0,0,1,0,0
Email 154,18,9,3,3,2,1,67,2,2,14,16,8,6
Email 155,2,7,12,6,2,1,62,4,5,10,7,8,4
Email 156,2,3,2,0,3,3,25,0,1,8,4,4,1
Email 157,2,6,12,1,4,3,48,0,6,11,7,6,2
Email 158,3,4,2,2,1,2,28,2,0,4,6,5,2
Email 159,1,8,8,5,5,1,192,1,1,39,33,24,0
Email 160,4,9,3,5,5,0,178,2,0,27,22,11,0
Email 161,26,10,3,14,2,7,97,5,1,38,19,17,4
Email 162,2,3,1,4,2,0,28,3,0,6,4,1,0
Email 163,0,1,1,0,0,0,4,0,0,0,0,0,0
Email 164,0,1,1,0,3,0,18,0,0,3,5,4,1
Email 165,10,6,18,3,7,5,72,0,9,12,13,21,3
Email 166,2,1,1,0,0,3,33,1,0,4,6,0,0
Email 167,0,1,1,0,0,0,6,0,0,1,1,0,0
Email 168,2,2,2,1,5,1,24,2,0,5,6,4,0
Email 169,10,9,3,2,3,3,38,3,0,19,8,4,2
Email 170,1,0,1,0,0,1,23,0,0,4,4,1,0
Email 171,21,23,1,11,11,3,127,0,1,19,25,29,16
Email 172,11,11,1,3,5,5,81,3,0,12,15,7,2
Email 173,0,2,1,0,0,0,45,1,0,4,5,4,0
Email 174,0,1,1,0,0,1,7,0,0,1,1,0,0
Email 175,29,28,6,16,12,4,150,1,2,28,33,33,18
Email 176,2,6,2,2,4,7,33,2,1,8,9,10,4
Email 177,22,17,2,9,8,8,163,18,3,41,31,25,3
Email 178,2,0,1,0,1,0,4,1,0,1,0,1,0
Email 179,13,6,2,4,4,7,69,5,0,14,9,9,2
Email 180,40,41,79,11,35,18,341,16,33,43,79,46,6
Email 181,0,0,1,0,1,0,6,1,0,0,1,0,0
Email 182,1,0,1,0,0,0,1,0,0,0,0,0,0
Email 183,14,34,45,5,28,3,228,6,18,25,41,36,23
Email 184,2,2,2,1,5,0,20,2,0,5,6,4,0
Email 185,1,0,1,0,0,0,8,0,0,0,0,1,0
Email 186,3,2,1,0,6,1,24,5,1,3,5,0,0
Email 187,4,2,7,3,5,0,37,1,4,1,4,3,3
Email 188,18,9,16,5,7,3,81,1,9,6,13,6,3
Email 189,1,1,1,0,0,0,14,4,0,4,2,0,0
Email 190,9,7,1,5,1,4,41,3,2,14,10,8,2
Email 191,5,2,1,1,4,0,31,3,0,8,3,5,2
Email 192,5,6,1,1,3,3,48,3,0,13,13,10,3
Email 193,1,1,1,1,0,1,15,0,0,0,2,2,0
Email 194,5,0,1,2,2,0,12,1,0,2,4,4,3
Email 195,0,0,2,0,2,0,12,2,0,5,4,2,0
Email 196,9,3,2,1,5,1,38,1,1,4,2,0,0
Email 197,35,18,4,17,13,15,178,11,1,36,30,23,10
Email 198,0,0,1,0,1,0,5,0,0,1,1,0,0
Email 199,0,0,2,0,2,0,12,2,0,4,4,2,0
Email 200,2,2,2,0,2,0,23,1,1,8,8,1,1
Email 201,15,37,51,5,31,3,250,6,22,26,47,37,24
Email 202,36,51,13,9,15,21,337,15,2,90,75,17,2
Email 203,4,2,2,3,3,5,47,3,0,8,10,8,2
Email 204,4,8,1,1,2,3,22,3,0,5,0,2,0
Email 205,0,0,1,0,1,0,5,0,0,1,1,0,0
Email 206,9,7,1,5,1,0,58,4,0,17,8,3,0
Email 207,23,12,11,4,7,2,120,6,2,20,14,8,2
Email 208,15,8,4,12,11,14,191,0,1,51,51,20,3
Email 209,3,7,2,2,2,1,32,7,0,2,5,5,0
Email 210,0,3,2,0,1,0,13,0,0,0,5,0,0
Email 211,1,1,1,0,0,0,13,0,0,3,4,1,1
Email 212,7,11,1,1,3,0,93,3,2,5,18,6,3
Email 213,13,15,36,5,9,2,117,1,16,19,26,17,9
Email 214,0,1,1,0,0,0,0,1,0,0,1,0,0
Email 215,17,28,13,4,12,2,170,11,8,18,35,13,8
Email 216,8,9,1,6,4,6,62,8,2,16,8,4,0
Email 217,0,1,2,0,1,0,13,0,0,0,7,0,0
Email 218,1,0,1,0,0,0,0,0,0,0,0,0,0
Email 219,5,1,1,1,2,0,18,1,0,1,3,3,1
Email 220,5,5,1,2,1,1,22,3,0,6,3,2,0
Email 221,46,28,33,10,8,10,253,14,14,39,43,7,3
Email 222,0,3,5,2,2,0,29,4,1,7,10,4,2
Email 223,10,9,19,0,3,7,80,1,8,11,17,11,6
Email 224,0,3,2,0,1,0,11,0,0,2,7,0,0
Email 225,30,26,5,14,4,9,204,1,1,28,56,19,4
Email 226,61,50,39,20,13,15,282,1,20,78,70,33,12
Email 227,3,1,1,0,2,1,19,0,0,1,6,1,0
Email 228,0,2,1,0,0,0,14,0,0,1,1,1,0
Email 229,0,1,2,0,1,0,13,0,0,0,5,0,0
Email 230,16,17,13,5,4,11,123,5,5,18,29,13,4
Email 231,4,0,1,2,3,0,15,0,1,2,3,2,1
Email 232,11,8,61,2,9,1,102,2,30,16,20,3,0
Email 233,0,0,1,0,0,0,3,1,0,0,1,0,0
Email 234,1,1,1,0,2,0,16,1,1,5,3,1,0
Email 235,1,4,14,0,2,0,29,1,7,7,7,2,0
Email 236,11,11,1,7,8,7,115,8,1,26,22,15,5
Email 237,5,0,1,1,4,3,20,0,0,3,5,3,1
Email 238,2,2,2,0,2,0,19,1,0,2,4,3,0
Email 239,13,9,1,13,5,5,87,0,0,20,36,6,0
Email 240,1,0,1,0,2,0,10,1,0,0,4,1,0
Email 241,13,7,2,4,2,5,36,4,2,8,11,3,2
Email 242,9,5,17,5,7,0,62,2,9,4,6,3,2
Email 243,1,4,13,0,1,0,21,0,6,4,6,1,0
Email 244,4,7,13,0,2,4,49,2,6,7,14,7,1
Email 245,20,15,2,13,9,7,141,18,0,20,36,10,2
Email 246,22,17,2,14,9,10,153,18,0,22,40,12,3
Email 247,1,1,2,0,0,1,10,0,0,3,6,2,0
Email 248,99,88,13,69,39,57,843,7,4,223,125,61,15
Email 249,0,1,2,0,1,0,11,0,0,0,7,0,0
Email 250,2,1,1,2,2,2,19,2,0,9,3,0,0
Email 251,22,10,1,3,4,4,85,1,1,14,12,11,4
Email 252,0,0,1,0,0,0,6,0,0,0,2,0,0
Email 253,0,0,1,0,1,0,5,0,0,1,1,0,0
Email 254,9,4,1,0,5,6,25,0,0,10,6,0,0
Email 255,5,4,1,0,1,2,22,0,0,10,4,4,0
Email 256,1,3,1,4,2,0,58,3,1,9,6,4,0
Email 257,4,0,1,0,4,0,16,0,0,6,2,0,0
Email 258,5,9,2,6,2,5,74,3,0,27,11,10,1
Email 259,4,4,1,0,1,1,16,1,0,1,1,3,1
Email 260,1,1,1,0,0,0,66,0,0,5,2,2,0
Email 261,3,0,1,1,0,0,8,0,1,3,2,1,0
Email 262,5,2,18,2,6,1,59,0,8,14,27,0,0
Email 263,2,1,1,0,1,4,18,1,0,0,1,1,0
Email 264,2,16,7,9,2,1,194,2,0,30,32,18,0
Email 265,0,1,2,0,1,0,15,0,0,0,5,0,0
Email 266,0,0,1,0,0,0,2,0,0,0,0,0,0
Email 267,0,1,2,0,1,0,9,0,0,0,5,0,0
Email 268,4,3,1,3,3,1,34,0,0,8,1,5,1
Email 269,5,6,6,1,4,2,30,1,3,7,9,4,1
Email 270,6,6,1,4,11,3,52,17,1,15,13,1,0
Email 271,0,1,2,0,1,0,7,0,0,0,5,0,0
Email 272,0,0,1,0,1,0,4,0,0,1,1,2,1
Email 273,6,1,2,0,0,2,19,1,0,1,2,1,1
Email 274,0,1,2,0,1,0,15,0,0,0,5,0,0
Email 275,9,9,4,2,6,3,50,7,1,9,6,5,1
Email 276,1,4,9,1,1,1,16,0,4,3,11,4,0
Email 277,50,67,16,21,15,29,412,15,3,138,76,29,3
Email 278,0,1,2,0,1,0,9,0,0,0,7,0,0
Email 279,3,7,10,1,1,2,41,0,4,4,7,6,1
Email 280,0,2,9,0,3,0,20,1,3,1,5,0,0
Email 281,6,0,2,2,3,1,21,3,0,3,4,4,0
Email 282,1,5,1,0,1,0,22,2,0,2,1,0,0
Email 283,1,2,2,1,1,0,11,1,0,1,2,0,0
Email 284,8,3,9,2,5,1,41,4,3,6,15,6,0
Email 285,9,5,1,4,4,2,42,0,0,7,8,1,0
Email 286,3,5,2,0,1,0,26,5,0,2,2,4,2
Email 287,1,2,2,0,1,0,9,0,0,0,8,2,0
Email 288,4,2,3,0,4,0,26,0,0,0,14,3,0
Email 289,6,14,5,5,9,7,119,4,3,18,29,10,0
Email 290,4,6,1,1,3,2,46,3,0,13,13,10,3
Email 291,7,3,1,0,4,2,28,1,0,3,3,0,0
Email 292,1,0,1,0,2,0,14,0,0,5,8,2,0
Email 293,3,4,33,0,2,0,40,0,15,8,13,1,0
Email 294,7,7,11,4,5,2,59,10,3,11,12,2,1
Email 295,10,6,18,6,2,1,70,1,9,11,17,10,4
Email 296,1,0,1,0,0,0,7,0,0,0,0,0,0
Email 297,1,1,1,0,0,1,18,1,0,3,1,3,2
Email 298,0,0,1,0,0,0,2,0,0,0,0,0,0
Email 299,5,7,3,0,1,1,43,7,0,4,5,5,2
Email 300,1,1,1,0,0,0,18,2,0,3,5,1,0
Email 301,2,1,1,0,1,1,15,2,0,2,3,2,0
Email 302,3,2,1,1,1,0,22,1,0,3,4,4,2
Email 303,0,0,1,0,0,0,0,0,0,0,0,0,0
Email 304,1,0,1,0,1,0,6,0,0,0,2,1,0
Email 305,1,3,1,2,3,0,11,0,0,4,2,1,0
Email 306,9,2,1,0,5,2,37,0,0,4,13,3,2
Email 307,1,7,1,0,0,3,17,3,0,4,2,3,2
Email 308,0,0,1,0,0,0,1,0,0,1,0,0,0
Email 309,53,43,6,54,18,29,340,0,1,87,98,23,1
Email 310,19,13,6,24,8,17,220,0,1,59,48,14,2
Email 311,18,10,7,15,10,16,132,0,1,41,26,7,3
Email 312,0,1,1,0,0,0,0,1,1,1,0,0,0
Email 313,0,3,2,0,1,0,11,0,0,4,7,0,0
Email 314,0,1,1,0,0,1,5,0,0,1,0,0,0
Email 315,7,4,1,4,3,1,23,2,0,6,4,1,0
Email 316,6,5,2,3,1,1,34,8,0,5,1,5,2
Email 317,13,7,5,2,6,1,54,4,2,4,8,6,1
Email 318,3,4,3,1,3,0,25,0,0,5,7,4,2
Email 319,2,3,2,1,2,0,15,0,0,3,3,3,2
Email 320,9,7,1,0,1,2,46,2,0,11,12,7,3
Email 321,10,12,4,6,8,6,187,5,0,26,28,23,2
Email 322,2,1,2,0,3,0,9,0,0,0,7,0,0
Email 323,5,10,3,8,4,2,189,2,0,30,26,11,0
Email 324,4,6,1,1,3,2,56,3,0,13,13,12,3
Email 325,2,4,3,3,0,1,33,4,0,10,7,7,0
Email 326,0,3,2,0,1,0,11,0,0,4,7,0,0
Email 327,0,0,1,0,1,3,14,0,0,1,2,1,0
Email 328,4,4,2,2,6,6,33,9,1,6,4,3,0
Email 329,2,3,2,1,2,0,28,1,0,5,5,2,0
Email 330,2,2,1,0,4,0,28,1,0,2,2,1,1
Email 331,7,4,1,3,3,2,32,3,0,4,2,8,3
Email 332,0,2,1,4,0,0,20,4,0,5,1,3,0
Email 333,13,6,8,3,6,5,58,6,3,10,11,16,7
Email 334,2,3,1,2,3,4,29,3,0,2,9,2,0
Email 335,3,2,1,0,0,2,16,1,0,0,2,1,1
Email 336,15,7,17,7,8,5,74,7,7,10,15,21,8
Email 337,2,6,2,2,1,0,127,1,2,22,14,9,0
Email 338,14,15,2,4,3,1,56,1,0,18,10,2,1
Email 339,0,1,1,0,0,0,28,0,0,5,5,0,0
Email 340,24,12,2,18,2,2,82,5,0,17,12,13,2
Email 341,3,4,2,2,4,6,22,3,1,4,1,3,1
Email 342,0,3,1,0,0,1,23,0,0,8,4,1,0
Email 343,13,17,3,2,8,11,103,31,0,26,14,8,3
Email 344,20,14,5,4,7,12,89,19,0,25,13,9,3
Email 345,3,3,3,1,2,0,32,3,1,2,5,2,0
Email 346,23,10,32,2,2,2,115,3,14,17,31,9,4
Email 347,0,2,1,0,0,0,69,0,0,3,5,2,0
Email 348,6,2,3,2,2,2,27,2,0,6,3,3,0
Email 349,0,1,2,2,1,0,15,0,0,0,5,0,0
Email 350,39,38,3,10,17,11,125,22,3,44,27,17,10
Email 351,33,24,9,39,21,14,355,0,3,94,104,44,0
Email 352,0,2,1,0,0,0,17,0,0,0,3,0,0
Email 353,3,4,2,2,1,4,28,0,1,7,4,3,2
Email 354,4,5,1,2,1,0,11,2,0,2,3,1,0
Email 355,1,2,7,0,2,1,22,2,3,3,1,2,0
Email 356,1,2,1,0,0,0,5,0,0,0,2,0,0
Email 357,12,14,3,6,2,2,123,7,1,9,20,13,4
Email 358,2,4,1,0,1,0,23,1,1,7,9,3,0
Email 359,1,2,2,3,3,1,29,7,0,2,2,4,2
Email 360,4,1,1,1,2,1,12,0,1,0,4,1,0
Email 361,6,4,7,3,4,9,45,1,1,8,11,4,1
Email 362,0,1,2,0,1,0,7,0,0,0,6,0,0
Email 363,1,5,1,0,2,1,12,0,0,7,4,2,1
Email 364,1,2,1,1,0,1,17,4,1,4,1,0,0
Email 365,7,5,2,11,6,2,80,5,0,21,14,5,0
Email 366,0,1,2,0,1,0,9,0,0,0,3,0,0
Email 367,30,31,6,19,14,27,236,3,3,62,46,36,7
Email 368,11,2,1,0,7,4,47,1,0,10,16,3,2
Email 369,5,6,2,1,1,0,49,0,0,7,3,1,0
Email 370,0,1,2,0,1,0,7,0,0,0,3,0,0
Email 371,4,1,2,1,0,0,21,1,3,6,6,2,1
Email 372,5,9,3,6,8,1,87,0,2,17,26,7,0
Email 373,3,4,1,1,2,1,11,3,1,1,10,0,0
Email 374,2,2,7,0,9,0,56,3,2,6,6,1,0
Email 375,0,1,2,0,0,0,19,1,0,7,6,1,0
Email 376,9,3,1,1,1,0,18,1,1,4,0,1,0
Email 377,0,2,1,1,0,0,8,0,0,0,0,0,0
Email 378,13,9,1,5,3,2,98,1,0,21,18,4,0
Email 379,3,2,7,2,6,0,45,1,0,7,6,2,1
Email 380,3,1,1,1,0,3,17,1,0,3,1,0,0
Email 381,1,1,1,0,0,0,2,0,0,1,0,1,0
Email 382,1,0,1,0,0,0,4,0,0,0,1,1,0
Email 383,11,3,37,1,5,3,76,2,18,14,13,5,1
Email 384,11,2,2,5,2,1,61,0,1,8,12,5,1
Email 385,2,7,4,11,6,2,108,10,1,26,19,7,1
Email 386,0,4,1,1,2,0,12,0,0,3,3,0,0
Email 387,0,0,1,0,0,0,1,0,0,0,1,0,0
Email 388,0,0,1,0,0,0,3,0,0,0,0,0,0
Email 389,2,11,6,2,1,0,188,1,0,28,30,21,0
Email 390,9,14,3,5,9,5,92,4,0,22,18,10,4
Email 391,64,34,11,45,29,36,373,2,4,91,128,51,4
Email 392,8,14,3,7,4,6,291,6,0,29,280,5,0
Email 393,0,5,2,0,1,0,13,0,0,2,5,0,0
Email 394,12,9,16,1,4,4,63,1,7,7,4,5,3
Email 395,9,5,7,0,2,1,27,2,4,7,9,10,2
Email 396,1,0,1,0,1,0,2,0,0,6,3,2,0
Email 397,1,6,2,4,1,1,20,2,0,5,5,0,0
Email 398,0,2,1,1,2,2,15,1,0,2,1,4,1
Email 399,10,3,1,1,1,0,22,3,1,7,1,2,0
Email 400,0,1,2,0,1,0,13,0,0,0,3,0,0
Email 401,7,28,10,20,7,3,569,3,6,97,82,43,0
Email 402,9,7,13,0,3,1,40,2,7,9,10,12,2
Email 403,13,5,2,0,3,3,42,4,0,6,8,2,1
Email 404,1,5,5,1,1,0,35,0,2,7,4,2,0
Email 405,31,28,2,14,6,5,132,3,4,35,18,16,3
Email 406,16,6,15,0,10,6,83,2,7,17,24,7,4
Email 407,1,2,1,1,1,1,44,1,0,5,3,6,0
Email 408,3,0,2,0,2,1,18,1,0,2,2,4,2
Email 409,3,0,1,0,0,0,15,1,0,0,3,3,1
Email 410,57,25,19,10,12,7,183,8,14,52,37,36,17
Email 411,18,8,2,6,4,4,125,16,2,23,11,7,1
Email 412,210,111,8,83,37,77,951,42,5,191,147,110,32
Email 413,0,0,1,0,1,0,3,0,0,0,0,0,0
Email 414,0,1,2,0,1,0,9,0,0,0,6,0,0
Email 415,0,0,1,0,0,0,3,0,0,0,1,0,0
Email 416,21,6,4,6,6,2,60,0,1,18,5,7,0
Email 417,1,1,1,1,1,0,10,1,0,3,0,2,0
Email 418,7,7,20,0,6,0,58,1,9,9,18,9,3
Email 419,11,3,1,2,3,1,46,1,1,13,9,5,0
Email 420,1,6,1,0,2,1,12,0,0,8,2,0,0
Email 421,1,0,1,0,0,0,2,0,0,2,0,1,0
Email 422,2,4,8,0,3,1,16,0,4,6,5,2,0
Email 423,5,1,9,1,2,3,42,1,4,7,10,4,1
Email 424,0,0,1,0,1,0,5,0,0,0,0,0,0
Email 425,8,3,1,2,2,2,23,2,0,11,5,8,4
Email 426,2,1,1,1,0,1,7,1,0,1,0,0,0
Email 427,41,37,92,16,35,5,376,12,38,76,64,33,10
Email 428,1,4,1,1,2,1,9,0,0,5,1,2,0
Email 429,10,11,11,4,5,2,50,4,4,14,13,9,5
Email 430,1,1,1,0,0,0,8,1,0,0,1,1,1
Email 431,7,6,1,2,10,4,61,12,0,18,20,13,8
Email 432,6,4,3,4,3,2,55,0,2,11,6,9,1
Email 433,9,15,2,8,4,9,84,6,0,10,20,7,2
Email 434,1,0,1,2,1,2,33,1,1,6,5,2,0
Email 435,2,2,1,0,1,1,9,2,1,1,2,0,0
Email 436,4,2,2,0,0,3,22,1,1,6,3,0,0
Email 437,5,7,2,2,1,1,57,0,1,8,6,3,3
Email 438,0,0,2,0,0,0,0,0,0,1,1,0,0
Email 439,7,8,2,4,3,17,58,1,0,22,13,11,4
Email 440,2,4,1,1,2,2,19,0,0,6,4,2,0
Email 441,1,0,1,0,0,0,3,0,0,0,0,0,0
Email 442,11,9,7,1,2,0,40,5,2,1,4,2,2
Email 443,5,5,1,0,2,2,25,1,0,5,2,2,0
Email 444,2,3,4,0,5,0,35,0,0,0,10,0,0
Email 445,0,0,1,0,0,0,0,0,0,0,0,0,0
Email 446,5,1,1,1,7,0,19,1,0,1,10,8,2
Email 447,7,17,3,4,8,5,85,19,0,26,13,20,10
Email 448,19,5,5,8,3,3,80,4,0,23,13,4,2
Email 449,2,4,2,1,0,2,58,1,1,4,10,5,0
